,text,people,process,product,system
0,"A R N I Zero at gmail dot com, yeah yeah, once you disconnect this call.",0,1,0,0
1,Abdul have sent the mail. Shaik Abdul still now I have not received any email.,0,1,0,0
2,About ten days back. Ok. After that I keep receiving messages from your people asking me to,0,1,0,0
3,Acha Kunal a a  if u see the correspondence yesterday i had sent a mail.,0,1,0,0
4,"Actually I already given the all documents.So, You have to send them mail",0,1,1,0
5,Actually in the claim status only they didn't update any thing. They have mentioned they have rejected claim but I have sent the proof,0,1,0,0
6,After seeing the soft copy as well. You people are saying that is not there this is not there. give me a sir,0,0,1,0
7,"All of a sudden i received a message today, saying that again a quite. So what's going wrong here.",0,1,0,0
8,Already I have sended the documents on this date. This is post so i missed due to this thing. OK.,0,0,1,0
9,"Amount will be paid by you. ok. so Any of the hospitals give away anything, any of the.",0,1,0,0
10,"And I have not received that claim amount, And no intimation,Yeah. Sorry for the Inconvenience.",0,1,0,0
11,"And keys for this car is not working,I cant open it through central lock.The claim is that",0,1,0,0
12,And my mail ID is same.  Quality seven seven three one at gmail dot com. Sir. Please and whether it will be done today itself because if they don't do it today again I will lose money.,0,1,0,0
13,"And the information that he gave me. Do not match at all, Ok. He is giving me a much higher",0,1,1,0
14,And they will ask us to pay that is the thing they have given right. sir Did you ask the hospital  is this.,0,1,0,0
15,"Anyhow, what is the point? You have decided to keep the money with me so you are sending mail after mail not received",0,1,0,0
16,"Applied,to to the Car very selective Car's is given, but my system is not allowing to give your vehicle, i dont know why..",0,0,0,1
17,Arjan Ranga is vehicle number is H R Twenty six S J Double one no it's C J you written it wrong in the policy that is,0,0,1,0
18,"Arrey, I have written ever",1,1,0,0
19,"As i can't give, my system is not allowing.Zero Debt  is not applicable this because .",0,0,1,1
20,"As there is no response from your end, I need to disconnect this call. As there is no response from your end, I need to disconnect.",0,1,0,1
21,Because they didn't get the address because the pincode was wrong. OK.,0,1,1,0
22,"But  you know, still you know I have not got any information and it has not been done, I believe.",0,1,0,0
23,But earlier it was Eight Thousand Seven Hundred why it is increase to Eight Hundrerd Rupees .sir i would like to,0,0,1,0
24,But how much time it will take because,0,1,0,0
25,But the you know the hard copy despires to Blue dot and Blue dot guy has called me that and he is asking for.,0,1,0,0
26,But this Policy is inactive just because the Payment was not unsuccessful. That I under,0,1,1,0
27,But you are acknowledging my mail also but not giving money. I think so,0,1,0,0
28,"Call back from our. No kindly tell me, Is it possible to escalate to someone now please?",0,1,0,0
29,Can you again list some details the document that I need to send the reimburse of.,0,1,0,0
30,"Cancel the Policy by incorrect details. Again I have to key in no yaar. Ok if I cancel the Policy, how much money I will lose?",0,1,1,0
31,"Check with the whatsapp number yeah. No, You might have sent, But I have didn't received it and I am waiting with.",0,1,0,0
32,"Claim is under query, query has been on claim because insufficient of. See some past one month this is the same thing is going on.",0,1,0,0
33,Complaine that somebody will come and start your car.Ok you need toeing facility for taking,0,0,0,1
34,Connect me to your senior who can help me if you are not able to help me.or give me the another number who can share me the letter,0,1,1,0
35,Contact number also is there but you know unfortunately the month has gone wrong. Then I think something you know,0,1,0,0
36,Currently I am not able to take the request sir. You are not able to take. You are able to take what. You are able to do what then? Why did I call you?,1,1,0,0
37,Date of birth and details of why the patient is statying for so long. So I have sent all the doc,0,0,1,0
38,Debited to my account for booking. Ok sir. So I need the amount for that because my flight got delayed and they haven't rescheduled my booking.,0,1,0,0
39,"Do that. I will send you down that link, ok Sir. So how much time it is going to take?",0,1,0,0
40,E J A right Raheja R A H correct Diabetic association,0,0,1,0
41,Five year policy na five year sir bundle policy five year ok yeah ok policy,0,0,1,0
42,Four Six P M. yeah OK please provide me the message I D. so that I could highlight me this word. I don't have a message I D yaar I can give you the ref.,0,1,0,0
43,Four Thirty Nine. OK you can just and a second thing madam this discharged summary the original mail which has been sent also have the same document.,0,0,1,0
44,Four hours from Eleven o'clock. can't you speed up this process being a cooperate plan and you know it's a bulk.,0,0,1,0
45,Fourteenth June we did not get our money back that is why i called. OK Mister Shanthanu. Sorry f,0,1,1,0
46,Give me some mail id where I can raise my concern.Actually tell me Seven Days,0,1,0,0
47,Give me some time thsi error had happened from our end or it was from your end may i know that. i think it was from my end.,0,0,1,0
48,Give me the money. If somebody else who is processing. If he says the documents are received and something like that. It is ok for me.,0,0,1,0
49,"Given intimation for my, For the accident which has happened yesterday.ok. And the fellow told me that I will get a message",0,1,0,0
50,"Given intimation for my,For the accident which has happened yesterday and the fellow told me that I will get an message.",0,1,0,0
51,Good evening this is Ahmad how may i assist? yeah i called you guys about two hours ago to intimate my,0,1,0,0
52,"Han if i send an Quotation, sir i just wanted to know if i send an Quotation on your Email.",0,1,1,0
53,He doesn't pick the call. When when he does he sounds rude and when he says he will send me the details in five minutes,1,1,0,0
54,He gave me they are not responing. Ok. so what can i do and i am told that they are working on this in mean today.,0,1,0,0
55,"He not available something like that. They assured me within two hours they will call. Sorry, I am so sorry",0,1,0,0
56,How does the accident happen mam? May I know. It happens suddenly i applied brake  behind one bus.,0,1,0,0
57,"How would, I would like to know how can I help you sir? So I dut had an accident",1,0,0,0
58,I am not intimated the claim yet. see hospital you know intimation,0,1,0,0
59,I am not received na he told S M S also S M S also i am not received i will wait,0,1,0,0
